latitude,longitude,altitude,geometry,previous_dominating_activity,bearing,previous_dominating_activity_confidence,current_dominating_activity,timestamp,created_at,feature,id,speed,route,current_dominating_activity_confidence,accuracy
-6.7764802,39.2460801,,Point,still,291,92,in_vehicle,2015-11-28T21:10:10+03:00,2015-11-28 18:10:24,passive_tracking,88,291,,100,8
-6.7526935,39.2816856,,Point,still,0,50,,2015-11-28T19:38:15+03:00,2015-11-28 16:38:26,passive_tracking,90,0,,0,12
-6.7694338,39.2747343,,Point,in_vehicle,0,85,,2015-11-28T21:02:16+03:00,2015-11-28 18:02:20,passive_tracking,91,0,,0,39
-6.7524873,39.272252,,Point,still,0,44,,2015-11-28T23:16:52+03:00,2015-11-28 20:17:03,passive_tracking,97,0,,0,39
-6.7525429,39.2732783,,Point,still,0,100,on_foot,2015-11-28T23:33:23+03:00,2015-11-28 20:33:30,passive_tracking,98,0,,27,45
-6.7534862,39.2817105,,Point,in_vehicle,0,16,,2015-11-29T00:18:32+03:00,2015-11-28 21:18:38,passive_tracking,99,0,,0,66
-6.70531,39.1825735,,Point,in_vehicle,177,46,,2015-11-29T11:51:30+03:00,2015-11-29 08:51:46,passive_tracking,104,177,,0,23
-6.931025,39.271179,,Point,still,0,15,,2015-11-29T12:27:29+03:00,2015-11-29 09:30:11,passive_tracking,105,0,,0,6
-6.931025,39.271179,,Point,still,0,15,,2015-11-29T12:27:29+03:00,2015-11-29 09:30:11,passive_tracking,106,0,,0,6
-6.8009285,39.2772264,,Point,on_foot,0,85,still,2015-11-29T13:03:17+03:00,2015-11-29 10:03:23,passive_tracking,111,0,,82,72.163
-6.7535098,39.2754369,,Point,in_vehicle,0,69,,2015-11-29T13:20:40+03:00,2015-11-29 10:20:51,passive_tracking,131,0,,0,27
-6.7554719,39.2830145,,Point,still,0,100,in_vehicle,2015-11-29T15:13:01+03:00,2015-11-29 12:13:10,passive_tracking,132,0,,90,17.597
-6.7998768,39.2753105,,Point,in_vehicle,305,85,,2015-11-29T16:02:19+03:00,2015-11-29 13:02:29,passive_tracking,140,305,,0,48
-6.7529448,39.2813457,,Point,in_vehicle,0,25,,2015-11-29T14:58:00+03:00,2015-11-29 11:58:03,passive_tracking,143,0,,0,24
-6.7994633,39.2753233,,Point,,92,0,on_foot,2015-11-29T17:59:37+03:00,2015-11-29 14:59:53,passive_tracking,159,92,,15,4.5
-6.876575,39.166995,,Point,on_foot,244,54,,2015-11-29T19:39:00+03:00,2015-11-29 16:39:28,passive_tracking,161,244,,0,6.5
-6.8709533,39.1623266,,Point,on_foot,45,60,,2015-11-29T19:54:58+03:00,2015-11-29 16:55:09,passive_tracking,162,45,,0,3.9
-6.7654278,39.2795403,,Point,still,0,83,,2015-11-29T20:13:36+03:00,2015-11-29 17:13:40,passive_tracking,164,0,,0,3.9
-6.8635841,39.2054531,,Point,still,0,100,in_vehicle,2015-11-29T17:51:41+03:00,2015-11-29 14:51:51,passive_tracking,165,0,,95,45
-6.79901,39.2749983,,Point,in_vehicle,170,54,,2015-11-29T17:58:43+03:00,2015-11-29 14:58:47,passive_tracking,166,170,,0,4.8
-6.73804,39.2824233,,Point,in_vehicle,227,100,,2015-11-29T18:18:50+03:00,2015-11-29 15:18:58,passive_tracking,167,227,,0,7.1
-6.865785,39.2005349,,Point,in_vehicle,250,92,,2015-11-29T19:16:44+03:00,2015-11-29 16:16:47,passive_tracking,168,250,,0,5.9
-6.765304,39.2792976,,Point,still,0,85,,2015-11-29T20:34:37+03:00,2015-11-29 17:34:51,passive_tracking,169,0,,0,33.347
-6.764952,39.2793713,,Point,still,0,35,,2015-11-29T20:46:18+03:00,2015-11-29 17:46:21,passive_tracking,170,0,,0,24
-6.7971958,39.2818037,,Point,in_vehicle,226,100,still,2015-11-29T22:28:52+03:00,2015-11-29 19:28:53,passive_tracking,171,226,,100,8
